n_clust,som_dim,amd_bin,experiment_name
5,0,,exp2_kmeans
8,0,,exp2_kmeans
11,0,,exp2_kmeans
26,0,,exp2_kmeans
32,0,,exp2_kmeans
50,0,,exp2_kmeans
86,0,,exp2_kmeans
101,0,,exp2_kmeans
116,0,,exp2_kmeans
128,0,,exp2_kmeans
14,0,,exp2_norm_kmeans
20,0,,exp2_norm_kmeans
26,0,,exp2_norm_kmeans
29,0,,exp2_norm_kmeans
35,0,,exp2_norm_kmeans
47,0,,exp2_norm_kmeans
68,0,,exp2_norm_kmeans
80,0,,exp2_norm_kmeans
89,0,,exp2_norm_kmeans
125,0,,exp2_norm_kmeans
0,5,,exp2_som
0,7,,exp2_som
0,9,,exp2_som
0,11,,exp2_som
0,13,,exp2_som
0,15,,exp2_som
0,17,,exp2_som
0,19,,exp2_som
0,21,,exp2_som
0,23,,exp2_som
0,25,,exp2_som
0,27,,exp2_som
0,29,,exp2_som
0,5,,exp2_norm_som
0,7,,exp2_norm_som
0,9,,exp2_norm_som
0,11,,exp2_norm_som
0,13,,exp2_norm_som
0,15,,exp2_norm_som
0,17,,exp2_norm_som
0,19,,exp2_norm_som
0,21,,exp2_norm_som
0,23,,exp2_norm_som
0,25,,exp2_norm_som
0,27,,exp2_norm_som
0,29,,exp2_norm_som
11,30,,exp2_norm_som+kmeans
14,30,,exp2_norm_som+kmeans
17,30,,exp2_norm_som+kmeans
20,30,,exp2_norm_som+kmeans
23,30,,exp2_norm_som+kmeans
26,30,,exp2_norm_som+kmeans
29,30,,exp2_norm_som+kmeans
32,30,,exp2_norm_som+kmeans
35,30,,exp2_norm_som+kmeans
38,30,,exp2_norm_som+kmeans
14,40,,exp2_norm_som+kmeans
17,40,,exp2_norm_som+kmeans
20,40,,exp2_norm_som+kmeans
23,40,,exp2_norm_som+kmeans
26,40,,exp2_norm_som+kmeans
29,40,,exp2_norm_som+kmeans
35,40,,exp2_norm_som+kmeans
41,40,,exp2_norm_som+kmeans
44,40,,exp2_norm_som+kmeans
56,40,,exp2_norm_som+kmeans
14,50,,exp2_norm_som+kmeans
17,50,,exp2_norm_som+kmeans
23,50,,exp2_norm_som+kmeans
26,50,,exp2_norm_som+kmeans
29,50,,exp2_norm_som+kmeans
35,50,,exp2_norm_som+kmeans
38,50,,exp2_norm_som+kmeans
41,50,,exp2_norm_som+kmeans
44,50,,exp2_norm_som+kmeans
50,50,,exp2_norm_som+kmeans
11,60,,exp2_norm_som+kmeans
14,60,,exp2_norm_som+kmeans
17,60,,exp2_norm_som+kmeans
20,60,,exp2_norm_som+kmeans
23,60,,exp2_norm_som+kmeans
26,60,,exp2_norm_som+kmeans
29,60,,exp2_norm_som+kmeans
41,60,,exp2_norm_som+kmeans
47,60,,exp2_norm_som+kmeans
53,60,,exp2_norm_som+kmeans
8,70,,exp2_norm_som+kmeans
11,70,,exp2_norm_som+kmeans
14,70,,exp2_norm_som+kmeans
20,70,,exp2_norm_som+kmeans
26,70,,exp2_norm_som+kmeans
29,70,,exp2_norm_som+kmeans
32,70,,exp2_norm_som+kmeans
35,70,,exp2_norm_som+kmeans
38,70,,exp2_norm_som+kmeans
