Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureExtraArcs,measureMissingArcs,measureReversedArcs,measureDivergence,measureBayesScore,measureBDeuScore,measureMDLScore,measureAICScore,measureEntropyScore,measureNumRules
exp7_kmeans_unit_norm_features1BEST1,1,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,20180823.1552,258099,168387,25579,142808,0,15.1906025999632,84.8093974000368,0,0.098000324808337,0.037082513799213,0.13927428172827,94.9966843536099,99.6820935016601,838181.363306842,843315.48294372,-5134.11963687802,4.97770827502623,5.00819827506708,-0.030490000040847,176866.644726905,1.05035807233875,3555124.85800812,0.049227452389508,137,0.014866790657231,2462,0.98513320934277,163142,0.950772547610492,2646,0.052712581762216,0.049227452389508,0.05091044221479,0.035536434191453,0.754281741273484,0.046986987407716,0.151906025999632,0.054199620445226,0.945800379554775,0.848093974000368,NaN,0.151906025999632,NaN,NaN,0.748620887809086,0.107056157381485,NaN,0.151906025999632,0.913,0.748,0.5,0.74,500,740,61799,32266955,3589330,79.632631972777,32.980016999231,?,0,0,0,0,-23393259.8903706,-23409546.905447,-23404974.9944611,-23390115.0040259,-23387274.0040259,?
exp7_kmeans_unit_norm_features1BEST1,1,2,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,20180823.1552,258099,165723,24493,141230,0,14.7794814238217,85.2205185761783,0,0.093766122869689,0.037069704302224,0.139215693015537,94.9485739229376,99.6221706665864,826739.891070572,831298.333714307,-4558.44264373463,4.98868528249291,5.0161916795756,-0.02750639708269,175943.589035121,1.0616727251807,3537424.60658316,0.076708507670851,220,0.015314236590832,2494,0.984685763409168,160361,0.923291492329149,2648,0.081061164333088,0.076708507670851,0.078824793980652,0.063082261752153,0.764252645235019,0.055875182166359,0.147794814238217,0.054030946187156,0.945969053812844,0.852205185761783,NaN,0.147794814238217,NaN,NaN,0.74920620319479,0.106903755689698,NaN,0.147794814238217,0.342,0.707,0.29,0.71,290,710,61799,32266955,3589330,79.2841066116351,32.8725078127081,?,0,0,0,0,-23432474.5476963,-23448761.5627727,-23444180.8073883,-23429320.8169531,-23426479.8169531,?
exp7_kmeans_unit_norm_features1BEST1,1,3,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,20180823.1552,258099,167554,26794,140760,0,15.9912625183523,84.0087374816477,0,0.104834829590551,0.037059559367676,0.139050483700949,95.0136036594924,99.6113193241011,830180.547891066,839311.647047165,-9131.09915609926,4.95470444090303,5.00920089670891,-0.054496455805885,175915.164159424,1.04990131038008,3534173.76687131,0.05833882663151,177,0.012168733284707,2002,0.987831266715293,162518,0.94166117336849,2857,0.081229921982561,0.05833882663151,0.067907155188951,0.054339338537908,0.777407144428946,0.0637331802687,0.159912625183523,0.055092105923661,0.944907894076339,0.840087374816477,NaN,0.159912625183523,NaN,NaN,0.74641909061909,0.107895366731985,NaN,0.159912625183523,0.223,0.7,0.22,0.7,220,700,61799,32266955,3589330,79.2025257528916,33.0057346117869,?,0,0,0,0,-23404467.7008778,-23420754.7159542,-23416176.7522831,-23401316.7618479,-23398475.7618479,?
exp7_kmeans_unit_norm_features1BEST1,1,4,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,20180823.1552,258099,166574,26203,140371,0,15.7305461836781,84.2694538163219,0,0.103184872514867,0.037022890097627,0.138957453935845,94.8538553373267,99.4670362508442,828698.85386735,835652.651117414,-6953.79725006421,4.97495920051959,5.01670519479279,-0.041745994273201,176924.028607404,1.06213471854794,3556057.77539757,0.057669674382111,147,0.012571254381954,2062,0.987428745618046,161963,0.942330325617889,2402,0.066545948392938,0.057669674382111,0.061790668348045,0.048394804283353,0.760055998601769,0.048535915519422,0.157305461836781,0.054225074264006,0.945774925735993,0.842694538163219,NaN,0.157305461836781,NaN,NaN,0.748503424040844,0.109730364053532,NaN,0.157305461836781,0.241,0.704,0.25,0.7,250,700,61799,32266955,3589330,79.3365111001717,33.00424423735,?,0,0,0,0,-23421892.3028611,-23438179.3179375,-23433600.4460725,-23418740.4556373,-23415899.4556373,?
exp7_kmeans_unit_norm_features1BEST1,1,5,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,20180823.1552,258099,167590,25829,141761,0,15.412017423474,84.5879825765261,0,0.100680277494999,0.037076640059297,0.139253045696208,94.9879212410962,99.6743360128105,833858.734780319,843804.657398663,-9945.9226183435,4.97558765308383,5.03493440777292,-0.059346754689084,176095.597594848,1.05075241717792,3539453.87419971,0.078119074706106,206,0.013567501045753,2238,0.986432498954247,162715,0.921880925293894,2431,0.084288052373159,0.078119074706106,0.081086400314899,0.067012740351465,0.767294540899563,0.052818280259027,0.15412017423474,0.053374071499986,0.946625928500014,0.84587982576526,NaN,0.15412017423474,NaN,NaN,0.748065605037836,0.107472334687169,NaN,0.15412017423474,0.227,0.829,0.22,0.7,220,700,61799,32266955,3589330,79.0858643117131,32.9953567440491,?,0,0,0,0,-23396968.0221881,-23413255.0372645,-23408679.2174653,-23393819.2270301,-23390978.2270301,?
exp7_kmeans_unit_norm_features1BEST1,1,6,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,20180823.1552,258099,167230,26179,141051,0,15.6544878311308,84.3455121688692,0,0.10164428956683,0.037057107662714,0.139159217902983,94.9897620425926,99.6684289031117,829402.955648986,844560.236587474,-15157.2809384875,4.95965410302569,5.05029143447631,-0.090637331450622,175477.493603632,1.04931826588311,3525777.3347468,0.05359477124183,164,0.012072851312664,1982,0.987927148687336,162188,0.94640522875817,2896,0.076421248835042,0.05359477124183,0.0630042258932,0.049444465726562,0.76944097581775,0.058514303373538,0.156544878311308,0.054908590151544,0.945091409848456,0.843455121688692,NaN,0.156544878311308,NaN,NaN,0.745824980258276,0.107970843862483,NaN,0.156544878311308,0.224,0.694,0.22,0.7,220,700,61799,32266955,3589330,78.4655863182443,32.7656154849701,?,0,0,0,0,-23407820.657804,-23424107.6728803,-23419525.0661692,-23404665.075734,-23401824.075734,?
exp7_kmeans_unit_norm_features1BEST1,1,7,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,20180823.1552,258099,167355,25394,141961,0,15.1737324848376,84.8262675151624,0,0.098635027828396,0.037075873140422,0.139199348832504,94.9826438207951,99.6319825838303,833310.365066632,843002.825678546,-9692.4606119137,4.97929769093623,5.03721326329387,-0.057915572357645,176503.582901618,1.05466572795326,3547952.06941667,0.051184834123223,162,0.015092271149278,2478,0.984907728850722,161712,0.948815165876777,3003,0.061363636363636,0.051184834123223,0.055813953488372,0.039455667292766,0.770543086377311,0.06219668119765,0.151737324848376,0.053159852809468,0.946840147190532,0.848262675151624,NaN,0.151737324848376,NaN,NaN,0.748239552747839,0.107317945826059,NaN,0.151737324848376,0.221,0.698,0.22,0.7,220,700,61799,32266955,3589330,78.6914044994174,32.8453812285902,?,0,0,0,0,-23401304.1041139,-23417591.1191903,-23413015.9731368,-23398155.9827016,-23395314.9827016,?
exp7_kmeans_unit_norm_features1BEST1,1,8,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,20180823.1552,258100,167344,26665,140679,0,15.934243235491,84.065756764509,0,0.105157351660086,0.03701464916591,0.138981717528334,94.8299691475621,99.481127570067,832919.831050246,839818.418123067,-6898.58707282052,4.97729127456166,5.01851526271074,-0.041223988149085,178317.985265108,1.06557740501666,3584264.98778716,0.081815170586287,247,0.01161722196866,1909,0.98838277803134,162416,0.918184829413713,2772,0.11456400742115,0.081815170586287,0.095458937198068,0.082850316575693,0.768004818813975,0.070794159254742,0.15934243235491,0.054447068221532,0.945552931778468,0.84065756764509,NaN,0.15934243235491,NaN,NaN,0.748324123994535,0.110317894019498,NaN,0.15934243235491,0.228,0.698,0.22,0.7,220,700,61799,32267080,3589205,79.0168754183,32.9771156956933,?,0,0,0,0,-23410974.4464042,-23427261.4614805,-23422682.8587685,-23407822.8628296,-23404981.8628296,?
exp7_kmeans_unit_norm_features1BEST1,1,9,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,20180823.1552,258100,166732,26631,140101,0,15.9723388431735,84.0276611568265,0,0.106045536588286,0.037026241415169,0.139028626212691,94.8277622931785,99.4771006668755,831625.287918651,832929.417752388,-1304.12983373669,4.98779651127949,4.99561822417045,-0.007821712890967,178457.882943178,1.07032772918922,3587908.36966139,0.064666666666667,194,0.014059560745609,2302,0.985940439254391,161430,0.935333333333333,2806,0.077724358974359,0.064666666666667,0.070596797671034,0.055396514811554,0.753251232705478,0.05207312584446,0.159723388431735,0.053923185274429,0.946076814725571,0.840276611568265,NaN,0.159723388431735,NaN,NaN,0.751463165452606,0.110107886357713,NaN,0.159723388431735,0.259,0.692,0.26,0.69,260,690,61799,32267080,3589205,79.1143871602332,32.8877406587259,?,0,0,0,0,-23413921.9192159,-23430208.9342923,-23425632.6226654,-23410772.6267266,-23407931.6267266,?
exp7_kmeans_unit_norm_features1BEST1,1,10,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,20180823.1552,258100,167903,25766,142137,0,15.3457651143815,84.6542348856185,0,0.099272605003076,0.037049361950863,0.139076210613846,94.9212278907434,99.5515597103082,836036.400293097,835838.434513142,197.965779954568,4.97928208723547,4.9781030387375,0.001179048497969,179052.016893332,1.06640153477503,3599170.86616468,0.087285223367698,254,0.014794567042238,2441,0.985205432957762,162552,0.912714776632302,2656,0.094248608534323,0.087285223367698,0.090633363068689,0.075277703977441,0.756582375472224,0.057020017116226,0.153457651143815,0.054295038814111,0.945704961185889,0.846542348856185,NaN,0.153457651143815,NaN,NaN,0.750330809116097,0.108185810640443,NaN,0.153457651143815,0.225,0.695,0.22,0.7,220,700,61799,32267080,3589205,79.3041220228346,32.9378588001581,?,0,0,0,0,-23400483.8455717,-23416770.860648,-23412196.334315,-23397336.3383762,-23394495.3383761,?
