Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureExtraArcs,measureMissingArcs,measureReversedArcs,measureDivergence,measureBayesScore,measureBDeuScore,measureMDLScore,measureAICScore,measureEntropyScore
exp5_kmeans_unit_norm_features3BEST1,1,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -R -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,20180825.0627,194250,150299,26150,124149,0,17.3986520203062,82.6013479796938,0,0.149705991431533,0.024704922251634,0.118363307091117,89.1898051953,100.578975315965,821352.977400232,755305.636773764,66047.3406264671,5.46479336123482,5.0253537067696,0.439439654465214,234350.013262414,1.55922536585349,4287761.54650976,0,0,0.000445786980359,67,0.999554213019641,150229,1,3,0,0,0,-9.43502582138163E-05,0.962094799595465,0.000526315789474,0.173986520203062,0.023201872469375,0.976798127530625,0.826013479796938,0.179900900448256,0.173986520203062,0.167094759064298,0.148293150610636,0.841432270776446,0.156831952009869,0.141502363671453,0.173986520203062,14.881,1.238,13.62,1.24,13620,1240,1625093,32055907,3566017,75.4502691302005,18.120194697617,?,0,0,0,0,-41719594.8774961,-43697370.9317865,-43001114.7896876,-42159836.1578987,-41994505.1578987
exp5_kmeans_unit_norm_features3BEST1,1,2,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -R -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,20180825.0627,194250,148912,27421,121491,0,18.41423122381,81.58576877619,0,0.160518240145613,0.024612778833977,0.117860010503528,88.8252095194866,100.110890525474,815816.460628131,739635.534020721,76180.9266074101,5.47851389161472,4.96693036169497,0.511583529919752,240088.89854531,1.6122871128271,4393958.64112807,0,0,0.000308919721166,46,0.999691080278834,148860,1,6,0,0,0,-0.00011158368064,0.90367077216499,0.000418118466899,0.1841423122381,0.022704448481441,0.977295551518559,0.8158576877619,0.190925455290404,0.1841423122381,0.176392608652227,0.158877910637352,0.842635007636011,0.161734682473936,0.144492916769688,0.1841423122381,13.45,1.117,12.88,1.11,12880,1110,1622945,32055907,3566017,75.5781938325991,18.1149269367142,?,0,0,0,0,-41773848.8420356,-43748641.5111124,-43053573.192913,-42213424.1971649,-42048315.1971649
exp5_kmeans_unit_norm_features3BEST1,1,3,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -R -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,20180825.0627,194250,150164,26769,123395,0,17.8265096827469,82.1734903172531,0,0.153738591973045,0.024620329502473,0.117873122849993,88.887686364317,100.166600462961,820210.573235983,750950.404720263,69260.1685157199,5.46209859377736,5.00086841533432,0.461230178443035,238138.009651964,1.58585286521379,4356835.38385112,1,29,0.000119892097113,18,0.999880107902887,150117,0,0,0.617021276595745,1,0.763157894736842,0.785459929354089,1,1,0.178265096827469,0.023381583491281,0.976618416508719,0.821734903172531,0.182278810685987,0.178265096827469,0.170455134641709,0.151678976435759,0.840444036796261,0.162246676981063,0.155075143213448,0.178265096827469,13.41,1.175,12.85,1.17,12850,1170,1623540,32055907,3566017,75.1771396606377,18.0708615722999,?,0,0,0,0,-41717849.6151732,-43693559.2797718,-42998222.2275255,-42157717.0402331,-41992538.0402331
exp5_kmeans_unit_norm_features3BEST1,1,4,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -R -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,20180825.0627,194250,149488,26109,123379,0,17.4656159691748,82.5343840308252,0,0.150466323642006,0.024574490714607,0.117909799914628,88.6988614660359,100.168141212276,820385.413505201,751171.122293937,69214.2912112635,5.48796835535428,5.02495934318432,0.463009012169964,239467.103371386,1.60191522644885,4383434.18180752,0,0,0.000247518129031,37,0.999752481870969,149447,1,4,0,0,0,-8.13924440746198E-05,0.931042787187926,0.000386697602475,0.174656159691748,0.023292324152066,0.976707675847934,0.825343840308252,0.178127682537546,0.174656159691748,0.165865164628215,0.147548956140642,0.840602676358046,0.160739180473756,0.150399527740177,0.174656159691748,13.64,1.158,13.13,1.16,13130,1160,1624857,32055907,3566017,74.5424381890185,17.9002901331784,?,0,0,0,0,-41740523.2454243,-43718144.6263608,-43022278.5983718,-42181040.674188,-42015717.674188
exp5_kmeans_unit_norm_features3BEST1,1,5,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -R -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,20180825.0628,194251,151231,26714,124517,0,17.6643677552883,82.3356322447117,0,0.152292395894632,0.024559621039359,0.117890472765456,88.6626293128355,100.173861473772,826708.541571371,757604.898671195,69103.6429001761,5.46652830154777,5.00958731127345,0.456940990274323,240219.727296666,1.58842914016747,4395319.86042139,1,7,0.000138866846532,21,0.999861133153468,151203,0,0,0.25,1,0.4,0.499965282083033,1,1,0.176643677552883,0.02337798754205,0.97662201245795,0.823356322447117,0.184228560891793,0.176643677552883,0.170402796471252,0.151575697085932,0.842182433299745,0.16388795942995,0.139296717015506,0.176643677552883,13.492,1.187,12.98,1.17,12980,1170,1622947,32056072,3565852,74.8318797072029,17.8443006299728,?,0,0,0,0,-41673723.2365566,-43648515.9056337,-42953480.405517,-42113330.984779,-41948221.984779
exp5_kmeans_unit_norm_features3BEST1,1,6,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -R -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,20180825.0628,194251,149044,26577,122467,0,17.8316470304071,82.1683529695929,0,0.154669765999567,0.024584583741816,0.117853629302485,88.7566855197142,100.147572963386,814770.666530357,746473.675459843,68296.9910705141,5.46664519558222,5.00841144534394,0.458233750238279,236722.824519046,1.58827476798157,4331322.79681345,0,0,0.000288517022504,43,0.999711482977495,148995,1,6,0,0,0,-0.00010778709181,0.984628081428897,0.002612102742708,0.178316470304071,0.022473211269034,0.977526788730965,0.821683529695929,0.183882759090377,0.178316470304071,0.169100462096336,0.151771810469865,0.840998301061293,0.164373717345289,0.136958829667551,0.178316470304071,13.718,1.17,13.33,1.17,13330,1170,1622233,32056072,3565852,75.1174149915461,17.990200401032,?,0,0,0,0,-41759142.4897782,-43732940.7847645,-43038286.9988602,-42198514.1236596,-42033479.1236596
exp5_kmeans_unit_norm_features3BEST1,1,7,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -R -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,20180825.0628,194251,150335,27595,122740,0,18.3556723317923,81.6443276682077,0,0.159547945161206,0.024507012794208,0.117588578296675,88.4769193885313,99.9227249425443,820923.607697609,746488.620657233,74434.9870403762,5.46062864733834,4.96550118506823,0.495127462270105,241868.30503173,1.60886224120617,4424945.5699343,0,0,0.000272727877445,41,0.999727272122555,150292,1,2,0,0,0,-6.0243326210464E-05,0.936401189359622,0.000209139391404,0.183556723317923,0.022954457224238,0.977045542775762,0.816443276682077,0.189068140416499,0.183556723317923,0.174327196944836,0.156986174116442,0.843339408008736,0.167960022964558,0.141427835510088,0.183556723317923,13.772,1.139,13.34,1.14,13340,1140,1624377,32056072,3565852,75.403598629727,17.874480327269,?,0,0,0,0,-41721031.0909716,-43697812.6397257,-43001930.3265889,-42161027.8147762,-41995770.8147762
exp5_kmeans_unit_norm_features3BEST1,1,8,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -R -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,20180825.0629,194251,150677,26254,124423,0,17.4240262282897,82.5759737717103,0,0.149533765256705,0.024651740350628,0.11811339644331,89.0286014726047,100.405755014651,819863.277890487,754132.737975629,65730.5399148589,5.44119724901934,5.00496252232012,0.436234726699223,238252.493298479,1.58121341212315,4357062.63362055,1,6,0.000219020249418,33,0.999780979750582,150638,0,0,0.153846153846154,1,0.266666666666667,0.392189314519361,1,1,0.174240262282897,0.023724729239055,0.976275270760945,0.825759737717103,0.17701352543914,0.174240262282897,0.165263014434709,0.146126603087925,0.839467225960026,0.158287278762652,0.133464715100072,0.174240262282897,13.335,1.121,12.9,1.13,12900,1130,1626412,32056072,3565852,75.3386382792331,17.9511803394015,?,0,0,0,0,-41702474.5136482,-43682162.1127621,-42985321.6061757,-42143309.8115636,-41977834.8115636
exp5_kmeans_unit_norm_features3BEST1,1,9,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -R -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,20180825.0629,194251,149617,26621,122996,0,17.792764191235,82.2072358087651,0,0.154123721828917,0.024658893721971,0.118289388574603,89.0167154554277,100.507386179217,817842.088573863,751521.999269914,66320.0893039488,5.46623771746435,5.02297198359755,0.443265733866799,237306.059285838,1.58609021224753,4341972.11768929,1,6,0.000514668039115,77,0.999485331960885,149534,0,0,0.072289156626506,1,0.134831460674157,0.268797231585476,1,1,0.17792764191235,0.022979167930628,0.977020832069373,0.82207235808765,0.18087672511365,0.17792764191235,0.167502486464909,0.150043819299234,0.840946766105852,0.15703990831675,0.128536266003897,0.17792764191235,13.283,1.163,12.75,1.17,12750,1170,1625091,32056072,3565852,74.9005794796046,17.96700909656,?,0,0,0,0,-41738266.94764,-43716043.0019302,-43019750.6070924,-42178471.5497422,-42013140.5497422
exp5_kmeans_unit_norm_features3BEST1,1,10,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -R -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,20180825.0629,194251,149385,26303,123082,0,17.6075241824815,82.3924758175185,0,0.151524913567505,0.024616005795524,0.118252655358539,88.8580115257352,100.471246560334,816508.388521751,745609.707708546,70898.680813205,5.46579903284635,4.99119528539376,0.474603747452589,237777.003088004,1.59170601524921,4350550.91200916,0,0,0.000274465962873,41,0.999725534037126,149340,1,4,0,0,0,-8.5739382864491E-05,0.971589425696708,0.000941619585687,0.176075241824815,0.023665201744885,0.976334798255115,0.823924758175185,0.176205752799595,0.176075241824815,0.165479806713575,0.146949376021767,0.841943913192818,0.159600866492561,0.138570847326551,0.176075241824815,14.385,1.134,13.96,1.13,13960,1130,1625099,32056072,3565852,75.2779730227265,17.8052013254343,?,0,0,0,0,-41741977.9281812,-43719753.9824716,-43023543.8068328,-42182264.7494826,-42016933.7494826
