Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureExtraArcs,measureMissingArcs,measureReversedArcs,measureDivergence,measureBayesScore,measureBDeuScore,measureMDLScore,measureAICScore,measureEntropyScore
exp5_kmeans_unit_norm_features3BEST1,1,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808151643E7,248569.0,181213.0,48821.0,132392.0,0.0,26.941223863630093,73.0587761363699,0.0,0.24499194188773932,0.0217121299552684,0.11683830965913158,78.4480831477359,99.31768097494925,987460.7167052545,798258.5648952088,189202.1518100457,5.44917150924743,4.405084430450403,1.0440870787970273,381150.2588218586,2.1033273486000374,7004870.765577308,1.0,6.0,0.0,0.0,1.0,181207.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2694122386363009,0.022588440829512134,0.9774115591704879,0.7305877613636991,0.2564983609299286,0.2694122386363009,0.2602903709772529,0.23969807916668404,0.9065892194058776,0.24605887297822487,0.22887440252996966,0.2694122386363009,81.329,3.696,69.8728479,3.6504234,69872.8479,3650.4234,6.5636857E7,4.3007377E7,4783027.0,72.68297528323023,8.62892996481611,?,0.0,0.0,0.0,0.0,-4.1957348933556594E7,-1.567408053015449E8,-1.0603153009105875E8,-6.85220324008912E7,-6.132491340089146E7
exp5_kmeans_unit_norm_features3BEST1,1,2,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808151645E7,248569.0,180112.0,47238.0,132874.0,0.0,26.227014302211956,73.77298569778804,0.0,0.23780458721494158,0.0219005479872485,0.11709339627962893,79.11855756350447,99.51991075658272,981994.4942675798,795394.0766872488,186600.41758033098,5.45213253013447,4.4161081809499025,1.0360243491845684,373776.14821398683,2.0752428944989054,6869750.493964517,0.0,0.0,0.0,0.0,1.0,180108.0,1.0,4.0,NaN,0.0,NaN,NaN,0.9994225686810136,0.02857142857142857,0.2622701430221196,0.02283870458409495,0.9771612954159052,0.7377298569778804,NaN,0.2622701430221196,NaN,NaN,0.9059460377967096,0.2387755434449973,NaN,0.2622701430221196,108.45,4.73,77.1112943,4.6176296,77111.2943,4617.6296,6.5692424E7,4.3007377E7,4783027.0,72.76305854135205,8.730861114988354,?,0.0,0.0,0.0,0.0,-4.197790281111051E7,-1.5684505956913882E8,-1.061005572891369E8,-6.856479244007482E7,-6.136263344007507E7
exp5_kmeans_unit_norm_features3BEST1,1,3,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808151647E7,248569.0,180524.0,47438.0,133086.0,0.0,26.277946422636326,73.72205357736368,0.0,0.2383313372721677,0.021927674897474762,0.11711930460980284,79.2271004898869,99.55685226053149,983207.2079405991,793994.6840263759,189212.5239142232,5.446407169908705,4.3982777028338385,1.0481294670748664,375306.90231711214,2.0789861864190478,6897094.8033236265,0.0,0.0,0.0,0.0,1.0,180521.0,1.0,3.0,NaN,0.0,NaN,NaN,0.9995789963494552,0.0379746835443038,0.2627794642263633,0.022656964405878142,0.9773430355941214,0.7372205357736368,NaN,0.2627794642263633,NaN,NaN,0.9058241769189144,0.2407230719789309,NaN,0.2627794642263633,72.337,6.914,64.272412,6.5364419,64272.412,6536.4419,6.5673901E7,4.3007377E7,4783027.0,72.90387981653409,8.828268184364463,?,0.0,0.0,0.0,0.0,-4.196893157480078E7,-1.568081846216568E8,-1.0607531591220066E8,-6.854830678277166E7,-6.1347827782771915E7
exp5_kmeans_unit_norm_features3BEST1,1,4,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808151648E7,248569.0,180972.0,48152.0,132820.0,0.0,26.607430983798597,73.3925690162014,0.0,0.24171707009050292,0.021737789075154446,0.11650030551401318,78.5360074509937,99.02354925145852,986701.163542157,786700.4643092776,200000.69923287944,5.452231082941875,4.347083882088265,1.1051472008536096,382950.29269468493,2.1160748220425534,7038394.41270086,1.0,29.0,0.0,0.0,1.0,180943.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26607430983798597,0.02269732121803047,0.9773026787819695,0.733925690162014,NaN,0.26607430983798597,NaN,NaN,0.9082674205722487,0.24748207131380756,NaN,0.26607430983798597,72.605,4.041,64.6000141,4.0404259,64600.0141,4040.4259,6.5761263E7,4.3007377E7,4783027.0,73.34836328271777,8.7278852924363,?,0.0,0.0,0.0,0.0,-4.196969444415973E7,-1.5702404884666222E8,-1.0618750217523591E8,-6.860029747333293E7,-6.1388268473332666E7
exp5_kmeans_unit_norm_features3BEST1,1,5,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0180815165E7,248569.0,181195.0,48616.0,132579.0,0.0,26.830762438257125,73.16923756174288,0.0,0.24363987177587884,0.02179823706561797,0.11651510773365353,78.77393725012699,99.06377222649014,984369.4947086169,798042.8554932078,186326.63921540906,5.432652637813499,4.404331551605772,1.0283210862077268,377286.97642887256,2.082215162829397,6931523.601553311,1.0,6.0,0.0,0.0,1.0,181189.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2683076243825713,0.022697739603400442,0.9773022603965996,0.7316923756174287,0.25593277503772466,0.2683076243825713,0.25963577360984275,0.23882031023779557,0.9052593882443924,0.24507711136770433,0.2300818878703079,0.2683076243825713,67.718,7.097,63.648408,6.7236431,63648.408,6723.6431,6.5779778E7,4.3007377E7,4783027.0,72.84196583790944,8.798492547491838,?,0.0,0.0,0.0,0.0,-4.195477410294948E7,-1.5703702863729966E8,-1.0618883732228483E8,-6.859287690075387E7,-6.13791679007536E7
exp5_kmeans_unit_norm_features3BEST1,1,6,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808151651E7,248569.0,180551.0,48532.0,132019.0,0.0,26.879939740018056,73.12006025998194,0.0,0.2439201644566094,0.021724225256007597,0.1166869114017768,78.50875418017876,99.21309407847768,981288.0695525969,791083.5311899667,190204.53836263018,5.434963359674534,4.381496259726984,1.0534670999475504,377138.3941286523,2.0888191930737148,6929140.076328086,1.0,7.0,0.0,0.0,1.0,180544.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26879939740018055,0.022982120923752514,0.9770178790762473,0.7312006025998194,0.2572461030285146,0.26879939740018055,0.26067203584853726,0.23958261434501835,0.9075822266580207,0.24691399217767843,0.23108143237267426,0.26879939740018055,70.013,4.055,62.8528029,4.056026,62852.8029,4056.026,6.5798301E7,4.3007377E7,4783027.0,72.45598196631423,8.587941515535023,?,0.0,0.0,0.0,0.0,-4.197685890562601E7,-1.5708701715114787E8,-1.062270146684914E8,-6.862229852732877E7,-6.140690952732852E7
exp5_kmeans_unit_norm_features3BEST1,1,7,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808151652E7,248569.0,181330.0,49363.0,131967.0,0.0,27.222743065129873,72.77725693487012,0.0,0.24757110087731785,0.02178925236722207,0.11648103498558043,78.74028383107424,99.03311545685155,984913.2258810423,795200.8671383014,189712.35874274094,5.431606606083066,4.385379513253744,1.0462270928293218,378141.9922181547,2.085380203045027,6947107.697334568,0.0,0.0,0.0,0.0,1.0,181328.0,1.0,2.0,NaN,0.0,NaN,NaN,0.9999283067149034,0.13333333333333333,0.27222743065129873,0.022770120726441592,0.9772298792735584,0.7277725693487013,NaN,0.27222743065129873,NaN,NaN,0.9053054390435661,0.24540787507549816,NaN,0.27222743065129873,60.476,3.877,58.4847749,3.8844249,58484.7749,3884.4249,6.5599825E7,4.3007377E7,4783027.0,72.85170683284619,8.816632658688139,?,0.0,0.0,0.0,0.0,-4.1954792849824816E7,-1.566824668990921E8,-1.0599654730673078E8,-6.850456105582778E7,-6.131080205582805E7
exp5_kmeans_unit_norm_features3BEST1,1,8,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808151654E7,248569.0,180134.0,47809.0,132325.0,0.0,26.540797406375255,73.45920259362475,0.0,0.24082396766711034,0.021842650139197027,0.11694328128509957,78.92295583519812,99.41155898084786,980065.4994550865,793374.836156836,186690.66329825053,5.4407579882481185,4.404359177927743,1.0363988103203756,373886.1557972073,2.0756001409906366,6870193.077953501,0.0,0.0,0.0,0.0,1.0,180128.0,1.0,6.0,NaN,0.0,NaN,NaN,0.9989729525670634,0.031413612565445025,0.26540797406375255,0.022850630296828347,0.9771493697031718,0.7345920259362475,NaN,0.26540797406375255,NaN,NaN,0.9051030694929396,0.24327014108721076,NaN,0.26540797406375255,112.645,3.582,76.3000891,3.1824204,76300.0891,3182.4204,6.5618338E7,4.3007377E7,4783027.0,72.68033797062186,8.809370484511891,?,0.0,0.0,0.0,0.0,-4.1978801357046336E7,-1.567343647677898E8,-1.0603694327802262E8,-6.853620130748636E7,-6.134076230748661E7
exp5_kmeans_unit_norm_features3BEST1,1,9,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808151656E7,248570.0,180545.0,48693.0,131852.0,0.0,26.970007477360216,73.02999252263979,0.0,0.24496795586624656,0.021782292151573127,0.11656051145080343,78.71851652235014,99.1055002735389,980182.0531853971,789882.6211556457,190299.43202975136,5.429017991001673,4.374990285832594,1.054027705169079,375473.25634319993,2.07966576943809,6897700.466621652,0.0,0.0,0.0,0.0,1.0,180539.0,1.0,6.0,NaN,0.0,NaN,NaN,0.9991968494341943,0.039735099337748346,0.26970007477360214,0.02281525707300076,0.9771847429269989,0.7302999252263979,NaN,0.26970007477360214,NaN,NaN,0.904870286151174,0.24679262775301525,NaN,0.26970007477360214,121.356,3.31,72.04126179999999,3.2292207,72041.2618,3229.2207,6.5761259E7,4.300755E7,4782854.0,73.11473593840871,8.828586462416952,?,0.0,0.0,0.0,0.0,-4.1971161328767926E7,-1.5702551573126948E8,-1.0618914374216416E8,-6.860192453319322E7,-6.138989553319296E7
exp5_kmeans_unit_norm_features3BEST1,1,10,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808151658E7,248570.0,180383.0,48474.0,131909.0,0.0,26.87282060948094,73.12717939051906,0.0,0.24476674113552627,0.021784971082630975,0.11651306041413098,78.69717663802463,99.02123899947058,984052.9989566093,787055.7279182205,196997.27103838883,5.455353325738065,4.363247800059986,1.0921055256780785,379835.52210334636,2.1057168475041794,6981597.749163735,0.0,0.0,0.0,0.0,1.0,180379.0,1.0,4.0,NaN,0.0,NaN,NaN,0.999805964108904,0.10256410256410256,0.26872820609480935,0.022224482136851548,0.9777755178631483,0.7312717939051906,NaN,0.26872820609480935,NaN,NaN,0.9063765500973363,0.24590729640755177,NaN,0.26872820609480935,82.148,6.993,75.8944865,6.9732447,75894.4865,6973.2447,6.5875013E7,4.300755E7,4782854.0,72.76129125250162,8.818878243989904,?,0.0,0.0,0.0,0.0,-4.1984629325625926E7,-1.57293049423344E8,-1.063379593481174E8,-6.867668131534787E7,-6.145044231534788E7
